Domain,term,df,sumsq,meansq,statistic,p.value,p_adj_bh,p_adj_holm
Comp1: Fostering Effective Relationships,Year,3,1.5894174200923414,0.5298058066974471,1.2265665877800922,0.2983423320000156,0.3580107984000187,0.5966846640000312
Comp2: Engaging in Career-Long Learning,Year,3,3.4076916972545406,1.1358972324181802,3.1856709224895945,0.022838726844447026,0.03425809026667054,0.06851618053334108
Comp3: Professional Body of Knowledge,Year,3,1.0967133205598372,0.36557110685327904,0.8263390453421682,0.47917856397601666,0.47917856397601666,0.5966846640000312
Comp4: Inclusive Environments,Year,3,9.004511131372324,3.0015037104574414,9.041605673924092,5.784944113089965e-6,1.156988822617993e-5,2.313977645235986e-5
Comp5: FNMI Knowledge,Year,3,53.700337744129804,17.9001125813766,19.19791794704906,2.3432887912720546e-12,7.029866373816164e-12,1.1716443956360272e-11
Comp6: Legal Frameworks & Policies,Year,3,26.95606713024446,8.985355710081487,24.825630430447784,6.556207701808231e-16,3.933724621084939e-15,3.933724621084939e-15
