Q65,Comp1_mean,Comp1_sd,Comp1_n,Comp2_mean,Comp2_sd,Comp2_n,Comp3_mean,Comp3_sd,Comp3_n,Comp4_mean,Comp4_sd,Comp4_n,Comp5_mean,Comp5_sd,Comp5_n,Comp6_mean,Comp6_sd,Comp6_n
1,3.2625,0.7649618726882188,16,3.8125,0.6344288770224759,16,3.625,0.8660254037844386,16,3.875,0.806225774829855,16,3.21875,0.9826622003516773,16,4.166666666666667,0.699205898780101,16
2,3.5095238095238095,0.4403461841605556,21,3.6476190476190475,0.543708605430379,21,3.7857142857142856,0.6035608621222175,21,4.063492063492063,0.6020248021750121,21,3.5476190476190474,0.864649667564296,21,4.1269841269841265,0.5320420876855354,21
3,3.3530864197530863,0.6872202012006573,81,3.7555555555555555,0.6260990336999411,81,3.7839506172839505,0.758033111104564,81,3.9876543209876543,0.667591950479991,81,3.0925925925925926,0.9877724659274748,81,4.065843621399177,0.556326625399993,81
4,3.4757861635220126,0.6767816464876466,159,3.830503144654088,0.5989154742058453,159,3.893081761006289,0.6805730549663613,159,4.1069182389937104,0.5801701514773346,159,3.188679245283019,0.9705786563235458,159,4.09433962264151,0.5639573797021651,159
5,3.610869565217391,0.5906120520284607,138,3.8666666666666667,0.5490979109549455,138,3.971014492753623,0.5849952147225488,138,4.21256038647343,0.48986819649364877,138,3.25,0.8738913727614327,138,4.173913043478261,0.46832758186171114,138
6,3.742272727272727,0.5775297904718008,110,4.027272727272727,0.5143641466861425,110,4.031818181818182,0.5837134866771316,110,4.215151515151515,0.5372682889816665,110,3.295454545454546,0.8358247438919753,110,4.296969696969697,0.48493188051200636,110
7,3.767119565217391,0.59498621635118365,184,4.066847826086956,0.5397215014439682,184,4.198369565217392,0.5867829812177621,184,4.288043478260869,0.5035413512837659,184,3.339673913043478,0.9365684966001943,184,4.317028985507246,0.5578603099750629,184
