Q59,Comp1_mean,Comp1_sd,Comp1_n,Comp2_mean,Comp2_sd,Comp2_n,Comp3_mean,Comp3_sd,Comp3_n,Comp4_mean,Comp4_sd,Comp4_n,Comp5_mean,Comp5_sd,Comp5_n,Comp6_mean,Comp6_sd,Comp6_n
1,3.587637969094923,0.6576570316650786,453,3.91644591611479,0.5676569954080708,453,3.988962472406181,0.6387986726377767,453,4.170713760117733,0.5519214721724021,453,3.280353200883002,0.9107217106587355,453,4.184694628403237,0.5260950897548847,453
"1,2",3.466666666666667,0.43588989435406733,9,3.7111111111111112,0.348010216963685,9,3.7777777777777777,0.3632415786283894,9,3.888888888888889,0.372677996249965,9,3.0555555555555554,0.7264831572567789,9,4.111111111111111,0.47140452079103173,9
2,3.6117256637168142,0.6363312449455879,226,3.9168141592920356,0.5949270961674034,226,3.9977876106194694,0.6741213006748858,226,4.185840707964601,0.601131530722956,226,3.22787610619469,0.9672742470605477,226,4.234513274336283,0.5892607497373574,226
4,3.776470588235294,0.5388308463023588,34,3.9294117647058826,0.5413391989707063,34,4.044117647058823,0.6783184093975553,34,4.215686274509804,0.463352974957388,34,3.235294117647059,1.0017809453111952,34,4.235294117647059,0.4459274130111168,34
