Parameter,Eta2,CI,CI_low,CI_high,DV
Q58,0.028538270311977778,0.95,0.007495096082770857,1,Comp1
Q58,0.007086623403845672,0.95,0,1,Comp2
Q58,0.015429290926993699,0.95,8.442850454268028e-5,1,Comp3
Q58,0.008728265561587834,0.95,0,1,Comp4
Q58,0.02682791279417931,0.95,0.006413048348806699,1,Comp5
Q58,0.015136242677835258,0.95,0,1,Comp6
