term,df,sumsq,meansq,statistic,p.value,DV,p_adj_bh,p_adj_holm
Q59,3,1.3143836066206172,0.43812786887353905,1.0566753188499465,0.36684202655533726,Comp1,0.8152576681856886,1
Q59,3,0.3827801689242975,0.1275933896414325,0.38830914835833324,0.7614600835001729,Comp2,0.8152576681856886,1
Q59,3,0.5170532518471654,0.17235108394905516,0.40849971264232615,0.7469413755706937,Comp3,0.8152576681856886,1
Q59,3,0.8272542370100038,0.27575141233666794,0.8714752792298446,0.4554782063714181,Comp4,0.8152576681856886,1
Q59,3,0.8170886945819084,0.27236289819396947,0.31402127887598286,0.8152576681856886,Comp5,0.8152576681856886,1
Q59,3,0.48656261295925507,0.16218753765308502,0.5504145499549207,0.647995265050588,Comp6,0.8152576681856886,1
