Q58,Comp1_mean,Comp1_sd,Comp1_n,Comp2_mean,Comp2_sd,Comp2_n,Comp3_mean,Comp3_sd,Comp3_n,Comp4_mean,Comp4_sd,Comp4_n,Comp5_mean,Comp5_sd,Comp5_n,Comp6_mean,Comp6_sd,Comp6_n
1,3.670440251572327,0.6056441635859638,318,3.911635220125786,0.5608886304698378,318,3.9795597484276732,0.6612700197389986,318,4.146750524109015,0.5813929813509809,318,3.3270440251572326,0.8100072464988141,318,4.190775681341719,0.5425583869227969,318
2,3.473529411764706,0.6713199598808284,119,3.8407563025210085,0.5423179373697613,119,3.903361344537815,0.6420218029337045,119,4.106442577030812,0.5756070620205385,119,3.1554621848739495,1.0551485941616414,119,4.100840336134453,0.5324756908038725,119
3,3.4881756756756754,0.6680859421294307,148,3.9824324324324323,0.6024571248149545,148,4.013513513513513,0.6492956569670543,148,4.245495495495495,0.5378514498830744,148,3.054054054054054,0.9899754946722065,148,4.29954954954955,0.5657654095664805,148
4,3.573,0.6631103272627028,50,3.844,0.5544476935635673,50,3.87,0.6044900026181624,50,4.173333333333333,0.4579358201970023,50,3.21,0.9850411780473847,50,4.126666666666667,0.5167928307668103,50
5,3.808955223880597,0.5432035567127003,67,3.952238805970149,0.5372088948008011,67,4.141791044776119,0.5560001236459815,67,4.253731343283582,0.5257335815637598,67,3.5970149253731343,0.8928962322644443,67,4.2388059701492535,0.5216071065145783,67
6,3.4956521739130433,0.817689794965373,23,3.9130434782608696,0.7671104861906892,23,4.239130434782608,0.7518094115561124,23,4.130434782608695,0.6722428195467375,23,3.217391304347826,1.064148047591911,23,4.2898550724637685,0.45287351709470364,23
