Parameter,Eta2,CI,CI_low,CI_high,DV
Q59,0.004395670705178243,0.95,0,1,Comp1
Q59,0.0016198335049702063,0.95,0,1,Comp2
Q59,0.0017039150299813864,0.95,0,1,Comp3
Q59,0.0036280509298025126,0.95,0,1,Comp4
Q59,0.0013103473617896736,0.95,0,1,Comp5
Q59,0.002294505379425356,0.95,0,1,Comp6
