contrast,estimate,SE,df,t.ratio,p.value,DV
Q655 - Q657,-0.2001811594202899,0.06353141527212329,702,-3.150900362645103,0.028109925806751312,Comp2
Q656 - Q657,-0.0395750988142288,0.0679950754591398,702,-0.5820288976370152,0.997307169675316,Comp2
Q651 - Q652,-0.1607142857142854,0.21133490437044736,702,-0.76047203935877306,0.988472495107039,Comp3
Q651 - Q653,-0.15895061728395052,0.1742301757443747,702,-0.9123024562470632,0.9706201773751293,Comp3
Q651 - Q654,-0.26808176100628817,0.1670323068773535,702,-1.6049695176821817,0.6792058886289207,Comp3
Q651 - Q655,-0.3460144927536226,0.16819025701125404,702,-2.0572802426389654,0.37959142786489775,Comp3
Q651 - Q656,-0.40681818181818236,0.17039974753468884,702,-2.3874341817047884,0.2053596916659597,Comp3
Q651 - Q657,-0.573369565217391,0.16599159701441069,702,-3.454208378798919,0.010447129602951022,Comp3
Q652 - Q653,0.0017636684303348749,0.15595091866063476,702,0.011309124982923626,1,Comp3
Q652 - Q654,-0.10736747529200277,0.1478659069290511,702,-0.7261137981152055,0.9909823343250567,Comp3
Q652 - Q655,-0.18530020703933722,0.14917271012049077,702,-1.2421856979716015,0.8773740983142809,Comp3
Q652 - Q656,-0.24610389610389696,0.15165951619026696,702,-1.6227395569107792,0.6676359823313018,Comp3
Q652 - Q657,-0.41265527950310565,0.14668928103503262,702,-2.813124971309625,0.07435100811830297,Comp3
Q653 - Q654,-0.10913114372233765,0.08693698158206481,702,-1.2552902313421417,0.8718559765034438,Comp3
Q653 - Q655,-0.1870638754696721,0.08914151546468932,702,-2.0985045463330914,0.35461126772764495,Comp3
Q653 - Q656,-0.24786756453423184,0.09324334392177985,702,-2.6582869522800836,0.11065119149670855,Comp3
Q653 - Q657,-0.4144189479334405,0.08492030090163515,702,-4.880092787394502,2.7021291899576028e-5,Comp3
Q654 - Q655,-0.07793273174733445,0.07409350295536267,702,-1.051815997878852,0.941539401959697,Comp3
Q654 - Q656,-0.1387364208118942,0.07898074820214235,702,-1.7565852941379323,0.5779959789393965,Comp3
Q654 - Q657,-0.30528780421110285,0.068957196187774,702,-4.427207326988592,2.2295506203007243e-4,Comp3
Q655 - Q656,-0.06080368906455974,0.08140104175814561,702,-0.7469645074717396,0.989515614831762,Comp3
Q655 - Q657,-0.2273550724637684,0.0717165665576672,702,-3.1701890285134118,0.026479612045191003,Comp3
Q656 - Q657,-0.16655138339920866,0.07675530812389585,702,-2.1699005250603256,0.3133244524564692,Comp3
Q651 - Q652,-0.1884920634920637,0.1843177766870339,702,-1.0226472284988422,0.9487902445035832,Comp4
Q651 - Q653,-0.11265432098765482,0.15195652947466942,702,-0.7413588700473307,0.9899266713948291,Comp4
Q651 - Q654,-0.23191823899371042,0.1456788386672455,702,-1.591983030036709,0.6875904151728706,Comp4
Q651 - Q655,-0.3375603864734302,0.14668875605325798,702,-2.301201506889,0.2447694199981132,Comp4
Q651 - Q656,-0.34015151515151626,0.148615784539649,702,-2.288798031818536,0.25081122979603887,Comp4
Q651 - Q657,-0.4130434782608703,0.1447711735151718,702,-2.8530781938959966,0.06676464385675929,Comp4
Q652 - Q653,0.07583774250440889,0.1360140989745953,702,0.5575726566300591,0.9978815373952629,Comp4
Q652 - Q654,-0.04342617550164671,0.12896267795498983,702,-0.3367344427881932,0.9998833925897086,Comp4
Q652 - Q655,-0.14906832298136646,0.13010241897189004,702,-1.1457767208277212,0.91359726605704,Comp4
Q652 - Q656,-0.15165945165945255,0.13227131088871938,702,-1.1465785788351681,0.9133278298570603,Comp4
Q652 - Q657,-0.22455141476880658,0.1279364723245289,702,-1.7551790407289038,0.5789513167834179,Comp4
Q653 - Q654,-0.1192639180060556,0.07582292761729224,702,-1.5729268409158097,0.6997756414265324,Comp4
Q653 - Q655,-0.22490606548577535,0.07774563312155815,702,-2.892844992774404,0.059861672368799024,Comp4
Q653 - Q656,-0.22749719416386144,0.0813230824019538,702,-2.7974492289829365,0.07751451924040387,Comp4
Q653 - Q657,-0.30038915727321547,0.07406406009651142,702,-4.055801921765891,0.0010860449169297626,Comp4
Q654 - Q655,-0.10564214747971976,0.06462136376557945,702,-1.634786722591423,0.6597334781160354,Comp4
Q654 - Q656,-0.10823327615780584,0.06888382188007852,702,-1.5712437725396786,0.7008447310412693,Comp4
Q654 - Q657,-0.18112523926715987,0.06014168424172273,702,-3.0116422835645484,0.04269997146736704,Comp4
