term,df,sumsq,meansq,statistic,p.value,DV,p_adj_bh,p_adj_holm
Year,3,1.5376128350363225,0.5125376116787742,1.188027645876961,0.3126911501857783,Comp1,0.37522938022293395,0.6253823003715566
Year,3,3.5714391892669797,1.19047972975566,3.3463241054523603,0.018333237073071613,Comp2,0.02749985560960742,0.05499971121921484
Year,3,0.8783339650079344,0.2927779883359781,0.6639912760913769,0.574125954573756,Comp3,0.574125954573756,0.6253823003715566
Year,3,9.183000106904885,3.0610000356349616,9.235481735748746,4.377308098336121e-6,Comp4,8.754616196672243e-6,1.7509232393344485e-5
Year,3,53.66237822326008,17.887459407753358,19.178082763789654,2.4123220400005407e-12,Comp5,7.236966120001622e-12,1.2061610200002703e-11
Year,3,26.771495803942575,8.923831934647525,24.678289307012236,8.128334560496645e-16,Comp6,4.877000736297987e-15,4.877000736297987e-15
