Year,Comp1_mean,Comp1_sd,Comp1_n,Comp2_mean,Comp2_sd,Comp2_n,Comp3_mean,Comp3_sd,Comp3_n,Comp4_mean,Comp4_sd,Comp4_n,Comp5_mean,Comp5_sd,Comp5_n,Comp6_mean,Comp6_sd,Comp6_n
Year 1,3.569052987598647,0.6738017819317254,1774,3.959507703870725,0.6213227590845826,1774,3.9549041713641486,0.6921493265121851,1774,4.21533258173619,0.5876348311167016,1774,2.995584366779406,1.001735621647878,1774,4.337091319052988,0.6735764547451921,1774
Year 2,3.548282208588957,0.6557556504415543,815,3.9100613496932515,0.5752656655078435,815,3.960736196319018,0.6321092555182242,815,4.130470347648262,0.5690320000219237,815,3.219222903885481,0.9724213448827843,815,4.173415132924335,0.5237227812365672,815
Year 3,3.555379353233831,0.6253842691235552,536,3.880037313432836,0.5795767054356211,536,3.9486940298507465,0.6518687526590464,536,4.080845771144278,0.5623105702502003,536,3.21113184079602,0.8882774374294099,536,4.1461442786069655,0.5372844847623784,536
Year 4,3.6049353701527616,0.6411059116368487,851,3.9087544065804933,0.5734593474190877,851,3.990599294947121,0.6411614409524407,851,4.1678417547982765,0.5651640312769868,851,3.2473560517038775,0.9290612283478505,851,4.192714453584019,0.5468332441699315,851
