"","Comp1","Comp2","Comp3","Comp4","Comp5","Comp6"
"Comp1",1,0.518842577102915,0.476666518765546,0.481523644503376,0.58095053541697,0.423707702704587
"Comp2",0.518842577102915,1,0.668043252837582,0.667861503258531,0.434140076107439,0.558193543077226
"Comp3",0.476666518765546,0.668043252837582,1,0.681471010131393,0.485999534774028,0.53141576572137
"Comp4",0.481523644503376,0.667861503258531,0.681471010131393,1,0.419602674825257,0.675737977970264
"Comp5",0.58095053541697,0.434140076107439,0.485999534774028,0.419602674825257,1,0.419942271820189
"Comp6",0.423707702704587,0.558193543077226,0.53141576572137,0.675737977970264,0.419942271820189,1
