"","Comp1","Comp2","Comp3","Comp4","Comp5","Comp6"
"Comp1",1,0.551397435407773,0.548374232297153,0.518062629447072,0.614210920176829,0.455927469021436
"Comp2",0.551397435407773,1,0.634741974591046,0.669357960349139,0.402295306823679,0.596387293335501
"Comp3",0.548374232297153,0.634741974591046,1,0.671298868099683,0.389333399431656,0.516727546775462
"Comp4",0.518062629447072,0.669357960349139,0.671298868099683,1,0.406092978988029,0.686909644394441
"Comp5",0.614210920176829,0.402295306823679,0.389333399431656,0.406092978988029,1,0.383736996183112
"Comp6",0.455927469021436,0.596387293335501,0.516727546775462,0.686909644394441,0.383736996183112,1
