"","Comp1","Comp2","Comp3","Comp4","Comp5","Comp6"
"Comp1",1,0.572540909400785,0.489227968499519,0.535479994976296,0.5334690121593,0.438574971505371
"Comp2",0.572540909400785,1,0.628856242228959,0.646276921221108,0.395169367182221,0.594189416169442
"Comp3",0.489227968499519,0.628856242228959,1,0.65574483139467,0.380641440290845,0.568907561687389
"Comp4",0.535479994976296,0.646276921221108,0.65574483139467,1,0.389868431612408,0.667812476744487
"Comp5",0.5334690121593,0.395169367182221,0.380641440290845,0.389868431612408,1,0.357621520383855
"Comp6",0.438574971505371,0.594189416169442,0.568907561687389,0.667812476744487,0.357621520383855,1
