"","Comp1","Comp2","Comp3","Comp4","Comp5","Comp6"
"Comp1",1,0.485753905503941,0.414934025275109,0.378101720866693,0.28927377387684,0.220053782147458
"Comp2",0.485753905503941,1,0.577489429439883,0.610135104412327,0.345083347196539,0.465851205095975
"Comp3",0.414934025275109,0.577489429439883,1,0.66829740877705,0.363984354140935,0.45339294797928
"Comp4",0.378101720866693,0.610135104412327,0.66829740877705,1,0.312745721349935,0.561418540305568
"Comp5",0.28927377387684,0.345083347196539,0.363984354140935,0.312745721349935,1,0.250607076242716
"Comp6",0.220053782147458,0.465851205095975,0.45339294797928,0.561418540305568,0.250607076242716,1
