lhs,op,rhs,est,se,z,pvalue,ci.lower,ci.upper,std.lv,std.all,Domain,Model
Comp1,=~,Q5,0.5618754369027973,0.033227677403778313,16.909861922485938,0,0.49675038590147647,0.6270004879041181,0.5618754369027973,0.6746887956253897,Domain1,Sensitivity_MLR_Centered
Comp1,=~,Q4,0.6730987020240292,0.03995713091370233,16.845521353316343,0,0.5947841645076206,0.7514132395404378,0.6730987020240292,0.6080746371952245,Domain1,Sensitivity_MLR_Centered
Comp1,=~,Q81,0.3230502890123442,0.025324962602770777,12.756200041811695,0,0.2734142744010898,0.37268630362359867,0.3230502890123442,0.5297439684869535,Domain1,Sensitivity_MLR_Centered
Comp1,=~,Q82,0.7129840580633298,0.03690021139312086,19.32195050232824,0,0.6406609727108983,0.7853071434157612,0.7129840580633298,0.7501919738094068,Domain1,Sensitivity_MLR_Centered
Comp1,=~,Q83,0.5252521530225184,0.0385698232117619,13.61821520774672,0,0.44965668863738806,0.6008476174076487,0.5252521530225184,0.5561524267233124,Domain1,Sensitivity_MLR_Centered
Need1,=~,Q44,0.8591089397317956,0.032211216610753275,26.67111118817517,0,0.7959761152765008,0.9222417641870904,0.8617246820344799,0.8894819261441387,Domain1,Sensitivity_MLR_Centered
Need1,=~,Q105,0.4938233682085777,0.029644098588124855,16.65840392280974,0,0.43572200262169836,0.551924733795457,0.4953269198706993,0.58086441240575,Domain1,Sensitivity_MLR_Centered
Need1,=~,Q106,0.9051297597452548,0.03391420343601068,26.68881082385006,0,0.8386591424463093,0.9716003770442002,0.9078856223518333,0.8988932367731066,Domain1,Sensitivity_MLR_Centered
Need1,=~,Q107,0.6575876323426725,0.02724452430560263,24.136506292658762,0,0.6041893459277652,0.7109859187575798,0.6595897995977098,0.7279280466541834,Domain1,Sensitivity_MLR_Centered
Need1,=~,Q108,0.3596164839080951,0.03114601238411742,11.546148491595595,0,0.2985714213731865,0.4206615464430037,0.3607114137897405,0.43824027207540245,Domain1,Sensitivity_MLR_Centered
Comp2,=~,Q84,0.45676755439352973,0.03176798988664192,14.378232806778728,0,0.39450343835447893,0.5190316704325806,0.45676755439352973,0.5808829223122963,Domain2,Sensitivity_MLR_Centered
Comp2,=~,Q85,0.44089790916973437,0.028719431084533037,15.351902615061956,0,0.38460885858756955,0.4971869597518992,0.44089790916973437,0.6182422134833174,Domain2,Sensitivity_MLR_Centered
Comp2,=~,Q86,0.5380088085339054,0.035160415509787546,15.301548651611947,0,0.46909566045325835,0.6069219566145525,0.5380088085339054,0.5985514888931949,Domain2,Sensitivity_MLR_Centered
Comp2,=~,Q87,0.5445596778124269,0.03682529106371339,14.787654410395705,0,0.4723834336073439,0.6167359220175098,0.5445596778124269,0.5940993937374753,Domain2,Sensitivity_MLR_Centered
Comp2,=~,Q88,0.4453710162374525,0.032503000374331334,13.702458576383501,0,0.3816663061142712,0.5090757263606338,0.4453710162374525,0.5251380448909015,Domain2,Sensitivity_MLR_Centered
Need2,=~,Q109,0.6842517156272868,0.02945904532461332,23.22721962261241,0,0.6265130477721117,0.7419903834824619,0.6945650150285809,0.7547011328886719,Domain2,Sensitivity_MLR_Centered
Need2,=~,Q110,0.8103743170296901,0.027452409358590613,29.51924206157525,0,0.7565685833980021,0.864180050661378,0.822588583750212,0.8830276986641935,Domain2,Sensitivity_MLR_Centered
Need2,=~,Q113,0.7074110760369133,0.027399461336619916,25.818430054004185,0,0.6537091186213406,0.761113033452486,0.7180734420351804,0.8404681611060717,Domain2,Sensitivity_MLR_Centered
Need2,=~,Q114,0.653618356783207,0.025759227720177292,25.37414412743537,0,0.6031311981820937,0.7041055153843203,0.6634699386700091,0.772187375865317,Domain2,Sensitivity_MLR_Centered
Need2,=~,Q116,0.5755018400147112,0.02714809269980351,21.198610391472418,0,0.5222925560741416,0.6287111239552807,0.5841760203587475,0.6822847929085847,Domain2,Sensitivity_MLR_Centered
Comp4,=~,Q91,0.46777315716238826,0.028046132045458454,16.678704799799135,0,0.412803748447635,0.5227425658771415,0.46777315716238826,0.6244569741663474,Domain4,Sensitivity_MLR_Centered
Comp4,=~,Q92,0.5446988273758095,0.02787709616512226,19.53929577705787,0,0.4900607228986103,0.5993369318530088,0.5446988273758095,0.7826298830782594,Domain4,Sensitivity_MLR_Centered
Comp4,=~,Q93,0.43432249596534467,0.02531776045638562,17.154854463274628,0,0.3847005973016165,0.48394439462907285,0.43432249596534467,0.6500849696107032,Domain4,Sensitivity_MLR_Centered
Need4,=~,Q117,0.5412527092550916,0.03445649254814596,15.708293828769738,0,0.4737192248271528,0.6087861936830304,0.555393939230328,0.658738549913382,Domain4,Sensitivity_MLR_Centered
Need4,=~,Q118,0.7738841944825652,0.028335983378690102,27.31100537927898,0,0.718346687593807,0.8294217013713233,0.7941033530775214,0.847523125095157,Domain4,Sensitivity_MLR_Centered
Need4,=~,Q121,0.7036021574079121,0.029152209545204616,24.135465832079646,0,0.6464648766295463,0.7607394381862779,0.7219850675510711,0.7521214154272654,Domain4,Sensitivity_MLR_Centered
Need4,=~,Q119,0.636772439885073,0.03127798144049714,20.35848896120299,0,0.5754687227525864,0.6980761570175597,0.6534092998219039,0.7608949588138533,Domain4,Sensitivity_MLR_Centered
