Item,Present,N_nonmissing,N_missing,Unique_values
Q117,TRUE,731,558,"1, 2, 3, 4"
Q118,TRUE,731,558,"1, 2, 3, 4"
Q95,FALSE,NA,NA,NA
Q121,TRUE,735,554,"1, 2, 3, 4"
Q119,TRUE,735,554,"1, 2, 3, 4"
